step,system_total_stopped,system_total_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
520.0,64,7446.0,0.5844599350731267,8,699.0,0.0,15,4746.0,0.04325020326141316,14,3135.0,0.029461120443105338,27,4489.0,0.0021820992075496795,64,13069.0
525.0,63,6762.0,0.8147705732193511,8,742.0,0.0497105095256424,13,4674.0,0.04695762171107466,15,3206.0,0.04184915574980236,27,4627.0,0.02032701445050223,63,13249.0
530.0,77,7019.0,0.8289282954204812,9,782.0,0.03625555019776232,21,4760.0,0.035869198729830507,18,3289.0,0.03299633719447401,29,4766.0,0.02277571600149126,77,13597.0
535.0,85,7427.0,0.4902777160221273,9,825.0,0.0205918338674658,28,4891.0,0.014902381640870271,19,3383.0,0.03025151659340167,29,4907.0,0.019041323666451827,85,14006.0
540.0,88,7859.0,0.496413154678941,9,870.0,0.05369096134618811,30,5035.0,1.4313141473916532e-05,20,3481.0,0.018221448650971788,29,5052.0,0.023964216294852392,88,14438.0
545.0,91,8306.0,0.17256240248876228,10,916.0,0.036601502395446586,30,5185.0,0.0,21,3583.0,0.006745114984804467,30,5201.0,0.013616352573130023,91,14885.0
550.0,92,8764.0,0.1969452684608114,10,966.0,0.05798502429234825,30,5335.0,0.0,21,3688.0,0.019058417501176535,31,5354.0,4.521521575432011e-07,92,15343.0
555.0,92,9224.0,0.2769577888033118,10,1016.0,0.026029704354287767,30,5485.0,0.015865518630975642,21,3793.0,0.03551304549892517,31,5509.0,0.0,92,15803.0
560.0,93,9688.0,0.17228063084585063,10,1066.0,0.04135125420899029,31,5639.0,3.7409020878196006e-06,21,3898.0,0.0005932971149942089,31,5664.0,0.0009542086955559918,93,16267.0
565.0,95,10161.0,0.13834865314784617,11,1119.0,0.0,31,5794.0,0.0,22,4008.0,0.0,31,5819.0,0.0069867333937397875,95,16740.0
570.0,96,10636.0,0.10017802748372968,11,1174.0,0.0,32,5949.0,0.0,22,4118.0,0.0,31,5974.0,0.018074368716934276,96,17215.0
575.0,97,11111.0,0.15134265629638413,11,1229.0,0.010392216784270148,32,6104.0,0.005753654988736167,22,4228.0,0.0045623289545228115,32,6129.0,0.015588788793448004,97,17690.0
580.0,96,11590.0,0.21751010994891443,11,1284.0,0.04158629957113031,31,6259.0,0.008802481023637421,22,4338.0,0.015203434022985601,32,6288.0,0.006517818401955934,96,18169.0
585.0,98,12080.0,0.3621981083782234,11,1339.0,0.060290105440745756,32,6419.0,0.011303264502837428,22,4448.0,0.03411185686249145,33,6453.0,0.011216370921108788,98,18659.0
590.0,100,12306.0,0.2495508556151457,10,1181.0,0.0019486491628699725,32,6579.0,0.018403209565824086,24,4562.0,0.010499793081683934,34,6620.0,8.929426203804736e-05,100,18942.0
595.0,99,12688.0,0.33793028306551265,8,1102.0,0.025468282931174695,32,6739.0,0.007094674063491451,25,4685.0,0.0279604558752319,34,6790.0,0.018146248818590473,99,19316.0
600.0,103,13189.0,0.19583330377777927,9,1143.0,0.0021165027755486606,32,6899.0,0.012362969685789107,27,4811.0,0.00013425831210757478,35,6964.0,0.011025219379455584,103,19817.0
605.0,103,13703.0,0.30232834746125425,10,1192.0,4.949922804527749e-06,32,7059.0,0.0,26,4941.0,0.006001717997299442,35,7139.0,0.015696771079185715,103,20331.0
610.0,106,14223.0,0.05408248581573682,10,1242.0,0.0,32,7219.0,0.001326089606593233,28,5073.0,0.010572580724486125,36,7317.0,5.555603100438584e-07,106,20851.0
615.0,107,14751.0,0.09194263713937756,10,1292.0,0.0,33,7379.0,0.00819149630699568,28,5211.0,0.006466468151453719,36,7497.0,0.0037293398137080817,107,21379.0
620.0,108,15283.0,0.13844390039414478,10,1342.0,0.006232263127555893,34,7541.0,0.010700019996491346,28,5351.0,0.011876331407777845,36,7677.0,0.003791695329175252,108,21911.0
625.0,104,14639.0,0.18728916805703888,8,1147.0,0.02671483935644378,34,7708.0,0.01672382210026207,29,5493.0,3.313517626668303e-05,33,7472.0,0.005492506049295495,104,21820.0
